ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"AttachmentTypeID\" Name=\"field_1\" ID=\"{0ea3e623-df6e-4e84-aa94-27f53ba84643}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"AttachmentTypeName\" Name=\"field_2\" ID=\"{ad0de1a8-7a8d-41f7-911f-1d1240a25c80}\" StaticName=\"field_2\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Make\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_3\" Required=\"TRUE\" Title=\"Make\" Type=\"Text\" ID=\"{4195e74c-a5ac-4059-adc6-22e1b155a450}\" StaticName=\"field_3\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Model\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_4\" Required=\"TRUE\" Title=\"Model\" Type=\"Text\" ID=\"{027c5c9d-c8be-4651-834e-6be4f7aa6cec}\" StaticName=\"field_4\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CommaSeparator=\"FALSE\" CustomUnitOnRight=\"FALSE\" DisplayName=\"year\" Format=\"Dropdown\" Name=\"field_5\" Percentage=\"FALSE\" Required=\"TRUE\" Title=\"year\" Type=\"Number\" Unit=\"None\" ID=\"{83a51b08-0ec7-42e2-9538-a96962778cbd}\" StaticName=\"field_5\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"SerialNumber\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_6\" Title=\"SerialNumber\" Type=\"Text\" ID=\"{3a62a486-3247-4133-9f67-b11de2ca6f53}\" StaticName=\"field_6\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"CouperType\" FillInChoice=\"TRUE\" Format=\"Dropdown\" Name=\"field_7\" Required=\"TRUE\" Title=\"CouperType\" Type=\"Choice\" ID=\"{ea140614-41fc-4d3a-bbae-ac90ebc27656}\" StaticName=\"field_7\"><CHOICES><CHOICE>Universal Quick</CHOICE><CHOICE>Bob-Tach</CHOICE><CHOICE>Pin-On</CHOICE><CHOICE>ACS</CHOICE><CHOICE>None</CHOICE></CHOICES><Default>None</Default></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"ServiceStatus\" FillInChoice=\"TRUE\" Format=\"Dropdown\" Name=\"field_9\" Title=\"ServiceStatus\" Type=\"Choice\" ID=\"{af4ab9cd-f79d-4d68-8a43-447960482a08}\" StaticName=\"field_9\"><CHOICES><CHOICE>Available</CHOICE><CHOICE>Down</CHOICE><CHOICE>Unkown</CHOICE></CHOICES></Field>","<Field Type=\"Text\" DisplayName=\"Servicenote\" Name=\"field_10\" ID=\"{22751293-2999-49f0-a443-2f98f5bb3e5c}\" StaticName=\"field_10\" />","<Field Type=\"Text\" DisplayName=\"CurrentAsseetID\" Name=\"field_11\" ID=\"{dca10b03-7562-4242-9246-8c52e2318d0e}\" StaticName=\"field_11\" />","<Field Type=\"Text\" DisplayName=\"CurrentLocation\" Name=\"field_12\" ID=\"{063d0ffc-c120-4b76-9366-f39dce89978c}\" StaticName=\"field_12\" />","<Field Type=\"Text\" DisplayName=\"Notes\" Name=\"field_13\" ID=\"{3271d4ed-62cb-4a2d-a9fd-aeddd6213fe3}\" StaticName=\"field_13\" />","<Field DisplayName=\"RequiresHighFlow\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"RequiresHighFlow\" Title=\"RequiresHighFlow\" Type=\"Boolean\" ID=\"{ffeda4de-7525-4315-acae-72f2da93b5d7}\" StaticName=\"RequiresHighFlow\"><Default>1</Default></Field>","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"AttachmentID\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"AttachmentID","AttachmentTypeID","AttachmentTypeName","Make","Model","year","SerialNumber","CouperType","RequiresHighFlow","ServiceStatus","Servicenote","CurrentAsseetID","CurrentLocation","Notes"
"PWA23","AT-016","Welder (Engine-Driven)","MILLER","TB325D","2024","NA190116R","None","False","Available",,,"SWANK SHOP","T3 hours: 792.0"
"PWA24","AT-016","Welder (Engine-Driven)","MILLER","Trailblazer 330","2024","NE110810R","None","False","Available",,,"SWANK SHOP","T3 hours: 315.0"
"PWA25","AT-016","Welder (Engine-Driven)","LINCOLN ELECTRIC","Ranger 330MPX","2026","U1260400968","None","False","Available",,,"Karns Crossing 24700-035",
"PWA26","AT-016","Welder (Engine-Driven)","LINCOLN ELECTRIC","Ranger 330MPX","2026","U1260400972","None","False","Available",,,"Karns Crossing Office 24700-035",
